01
02
02-S
03
03-S
04
04-S
05
06
07(시외버스터미널경유)
07(호반병원경유)
07-S
08(근화동사무소)
08(번개시장)
08-S
09
10(중앙로방면)
10(거두리방면)
10-S
11
11(오전공원묘지경유)
11(오후공원묘지경유)
12
12-S
13
13-S
14
100(호반사거리방향)
100(강대병원방향)
200(팔호광장방향)
200(애막골방향)
200-S
신북1
신북2
서면1(의암교경유)
서면1(안보리당림리)
서면1(신매대교경유)
서면2(의암댐경유)
서면2(신매대교경유)
서면3(신매대교입구)
서면3(의암댐경유)
서면3(갈때태봉경유)
서면3(올때태봉경유)
서면4
서면4(첫차)
서면4(막차)
서면5
서면6
사북1(오전)
사북1(오후)
사북2
사북2(올때오월리)
사북2(갈때오월리)
사북3(인람리먼저)
사북3(고성리먼저)
북산1
북산1(갈때떡갈메기)
북산1(올때떡갈메기)
북산1(갈때청평리경유)
북산1(올때청평사경유)
신동면1(설미)
신동면1(의암리본마을)
신동면1(김유정역입구)
신동면2
신동면3
신동면3(새고개)
남면1(가정리)
남면1(관천리)
남면2(발산리경유)
남면2(행촌리경유)
남산1
남산2(팔미리경유)
남산2(군자리경유)
남산3
남산3(방곡리경유)
남산4
남산4(수동1리경유)
남산5
동면1(상걸리)
동면1(감정리마을회관)
동면1(감정리)
동면2
동산1(조양2리)
동산1(군자리경유)
동산2(조양3리
동내1
동내1(거두리2리)
동내2
동내3
동내4
300
400
