성우오스타A
거두리주공A
강원지방경찰청
강원지방경찰청
지내1리(옥광산입구)
창촌3리입구
한덕리
한덕리입구
한덕리입구
산수리
산수리
서천리입구
방동2리입구(보건소)
월송1리
월송2리
신매1리
삼악산
과수원마을입구
(구)싸이클경기장
수동1리
당림삼거리
강촌리
봉명2리
동산면행복센터
모래재
조양1리
부사원고개
조양3리
조양4리
새술막
오탄리종점
고탄입구
눈썰매장입구
지암리(물레방아민박)
지암리(4)
지암리(3)
가족쉼터
오월교입구
고성2리선돌입구
고성2리
고성2리용화산
고성2리매산교앞
고성2리
고탄리
송암리
송암리마을회관
송암리(인삼밭)
송암리(은재된장)
송암리(밤나무)
인람리(1)
인람리(2)
송암리(은재된장)
송암리(밤나무)
인람리(1)
인람리(2)
인람리(하우스)
송암삼거리
해피초원목장
올미
올미
국군병원사거리
지내보건소
신촌리종점
사암1리
천리터
추곡1리
추곡(낚시터)
추곡터널
발산1리
가정1리마을회관
가정중학교
후동리
후동리
소주고개쉼터
발산2리(치안센터)
가정진료소
발산2리(치안센터)
탑골
정족1리입구
정족1리
증2리
금병초교
증1리
정족1리
정족1리입구
조양2리
조양2리
조양2리
조양2리
(구)상걸초
(구)상걸초
상걸교
상걸교
강촌1리삼거리
창촌1리
창촌1리
창촌3리
창촌3리
후동1리
후동1리
박암리
박암리
가정3리
가정3리
강원학생교육원
우러니입구
광판1리
광판1리
정보화마을
정보화마을
양지마을
수동1리
수동1리
혈동2리
팔미3리
팔미3리
오항리
천리터
추곡터널
백양2리
백양2리
백양2리
백양2리
당림리
당림1리
당림1리
당림1리
방동1리
인형극장
송암리
고성2리
해피초원목장
눈썰매장입구
지암리
지암리
지암리
지암리
신포리
신포리
고탄입구
용산2리
용산2리
용산3리종점
용산1리
용산1리
지내2리응달말
사농현대A
성신양회
학곡리
원창고개입구
퇴계2우체국
퇴계우성A
로데오거리
증3리
증2리
탑골
군자리
군자리
군자3리
군자3리
군자3리
군자3리
부사원고개
조양3리
봉명리조양교
전인고등학교
대형약국
대형약국
산림조합강원본부
산림조합강원본부
발산3리
금광터
운전면허시험장
소양강댐주차장
폴리텍2캠퍼스
월곡리
감정리
중앙시장환승센터
후평3동우체국
부안주유소
후평중학교
후평주공7단지
후평주공7단지
후평주공6단지
후평주공6단지
후평주공5단지
후평동종점
후평동종점
후평주공4단지후문
후평주공4단지 후문
후평주공4단지
대우A
후평3동행복센터
후평3동행복센터
후동리
후동리
후동리
소주고개
후동리
후동리
후동2리입구
후동
중부지구대
중부지구대
발산1리
황골
화목원
화목원
화광사
화광사
호반체육관
우석중학교
호반A
춘천도매물류마트
혈동2리종점
혈동2리마을회관
혈동2리마을회관
혈동2리
혈동2리
현암리
현암리
현암리
현암리
현암리
현암리
강원도재활병원
후평현대3차
신촌2리
신촌2리
향교
향교
행촌리
행촌리
디아펠리즈
율문2리
율문2리
항공대정문
항공대정문
할렐루야기도원
할렐루야기도원
장애인종합복지관
장애인종합복지관
한림대학교
한국토지주택공사
후평환승센터
후평환승센터
한국은행
한계울마을
한계울마을
학곡리종점
학곡리종점
하일종점
무릉공원
무릉공원
하사관주택
하사관주택
율문3리
포스코더샵A
포스코후문
포스코후문
포스코더샵A
팔미쉼터
팔미3리
팔미3리
팔미리
팔미1리
원예농협남부지점
투탑시티
퇴계현대1차
퇴계현대1차
한진한성
가족보건원
퇴계한주A
퇴계주공9차
퇴계주공7단지
퇴계주공6차A
퇴계주공5차A
퇴계주공4차
퇴계주공4차
퇴계주공3.4차
퇴계주공2차
퇴계주공1차
퇴계우체국
퇴계우성A
퇴계동입구
남부초교
퇴계금호A
토우시장
토우시장
태봉
탑말
탑말
크로바A
크로바A
칠전동고개
칠전동고개
칠전동
칠전동사거리
칠전대우A
칠전대우A
충렬탑입구
충렬탑입구
월드온천
월드온천
춘천초등학교
춘천시보건소
엘타워/미소지움
춘천중학교정문
춘천중학교
춘천중학교
학곡2리
학곡2리
현진에버빌3차
춘천역환승센터
춘천시청별관
춘천시청별관
춘천한샘후문
춘천한샘후문
춘천한샘고등학교
춘천한샘고등학교
박물관후문
박물관입구
춘천댐종점
춘천댐종점
춘천댐
춘천농협
춘천농협
소양고등학교
소양고등학교
기계공고
춘천기계공고
기계공고
신동삼거리
신동삼거리
춘천교도소입구
춘천교도소입구
춘천교도소
교육대학교
교육대학교
춘천경찰서
추곡초교
추곡초교
추곡약수터
추곡리2반
추곡리2반
추곡리
추곡리
추곡리
추곡1리
추곡리
추곡3거리
추곡1리1반
추곡1리
추곡1리
추곡
초원낚시터
고탄낚시터
청와A
청실A
청실A
청소년야영장
청소년야영장
인형극장
인형극장
청소년수련원
청소년수련원
청구/동아A
동아/청구A
천전삼거리
상천초등학교
천전3리
천전3리
천전1리
천전1리
천일주유소
강촌1리회관
창촌중학교
창촌2리마을회관
창촌2리마을회관
창촌3리종점
창촌3리입구
창촌3리입구
방동1리
방동1리
방동1리
방동1리
방동1리
방동1리
방동1리
방곡리
방곡리
방곡2리회관
방곡2리회관
방곡2리종점
방곡1리
방곡1리
방곡1리
방곡1리
방곡1리
방곡1리
발산치안센터
발산2리
발산리종점
발산2리
발산2리
발산2리
발산2리
발산2리
발산2리
발산2리
발산1리
발산1리
발산1리
발산1리
발산
발산
광판2리
반이동
가정중학교
가정1리회관앞
박암리
박암리
밀알재활원
밀알재활원
동부새마을금고
미려골
문화주택
문화예술회관
문화예술회관
모래재
명진학교
덕두2리종점
명동입구
멸공훈련장
멸공훈련장
면허시험장입구
면허시험장입구
동광오거리
동광오거리
만천리종점
동면만천농협
동면만천농협
만천3리마을회관
만천3리마을회관
만천초교
만천초교
양지교
양지교
마평
마삼래
가압펌프장
가압펌프장
삼성동부A
롯데인벤스
거두리부영A
로데오거리
뜨란채A
삼악산
삼악산
두미르A
두미르A
춘천동원학교
춘천동원학교
동산중학교
동산중학교
조양2리
조양2리
동산A
소방서
동산면행복센터
동산면행복센터
동부시장
동부시장
동보A
동보빌리지
동보빌리지
동면치안센터
동면치안센터
동면지내리
동면지내리
노루목저수지
노루묵저수지
동면행정복지센터
동면행정복지센터
동면복지회관
동내초교
동내초교
동내면행복센터
동내면행복센터
동광주유소
도민일보
도민일보
덕두원3리
덕두원2리
덕두원2리
덕두원2리
덕두원2리
덕두원2리
덕두원2리
덕두원2리
덕두원2리
덕두원2리
덕두원2리
덕두원2리
덕두원2리
덕두원2리
덕두원2리
덕두원2리
덕두원2리
덕두원2리
덕두원2리
덕두원2리
덕두원2리
덕두원1리
덕두원1리
덕두원1리
덕두원1리
덕두원1리
덕두원1리
덕두원1리
덕두원1리
대원사
대원사
대룡중학교
대룡산종점
대룡산쉼터
